question_id,question,category,complexity,execution_success,execution_time,execution_error,sql_similarity_score,exact_match,bleu_score,results_match,row_count_match,column_count_match,data_similarity_score,pattern_correctness,missing_components,extra_components,generated_sql,ground_truth_sql,num_few_shot_examples,model_name,timestamp,experiment_name
Q001,What was the total revenue in 2024?,revenue_analysis,simple,True,0.04508376121520996,,0.7294,False,0.6797,False,True,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': True, 'has_cte': True, 'has_window_func': True, 'has_case': True, 'has_subquery': True, 'has_aggregate': True}",[],[],SELECT value FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_PROFIT_LOSS_TOTAL_REVENUE' AND fp.fiscal_year = 2024;,"SELECT c.name as company_name, fp.fiscal_year, li.name as metric, ff.value as revenue, s.currency, s.units FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_PROFIT_LOSS_REVENUE_FROM_OPERATIONS_NET' AND s.statement_type = 'PROFIT_LOSS' AND fp.fiscal_year = 2024;",0,llama-3.3-70b-versatile,2025-10-14T23:26:10.456334,few_shot_learning_curve_20251014_232008
Q002,Compare revenue between 2023 and 2024,revenue_analysis,medium,True,0.04115867614746094,,0.0696,False,0.4884,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': False, 'has_order_by': False, 'has_cte': True, 'has_window_func': True, 'has_case': False, 'has_subquery': True, 'has_aggregate': False}","['has_group_by', 'has_case', 'has_aggregate']",['has_order_by'],"SELECT fp.fiscal_year, li.normalized_code, ff.value
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li ON ff.line_item_id = li.line_item_id
WHERE li.normalized_code IN ('HUL_BALANCE_REVENUE', 'HUL_PROFIT_LOSS_GROSS_REVENUE') AND fp.fiscal_year IN (2023, 2024)
ORDER BY li.normalized_code, fp.fiscal_year;","SELECT c.name as company_name, MAX(CASE WHEN fp.fiscal_year = 2023 THEN ff.value END) as revenue_2023, MAX(CASE WHEN fp.fiscal_year = 2024 THEN ff.value END) as revenue_2024, MAX(CASE WHEN fp.fiscal_year = 2024 THEN ff.value END) - MAX(CASE WHEN fp.fiscal_year = 2023 THEN ff.value END) as absolute_variance, ROUND(((MAX(CASE WHEN fp.fiscal_year = 2024 THEN ff.value END) - MAX(CASE WHEN fp.fiscal_year = 2023 THEN ff.value END)) / NULLIF(MAX(CASE WHEN fp.fiscal_year = 2023 THEN ff.value END), 0)) * 100, 2) as variance_percentage FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_PROFIT_LOSS_REVENUE_FROM_OPERATIONS_NET' AND s.statement_type = 'PROFIT_LOSS' AND fp.fiscal_year IN (2023, 2024) GROUP BY c.name;",0,llama-3.3-70b-versatile,2025-10-14T23:26:10.566446,few_shot_learning_curve_20251014_232008
Q003,Show revenue trend from 2021 to 2025 with year-over-year growth,trend_analysis,complex,True,0.01807999610900879,,0.2297,False,0.609,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': True, 'has_cte': True, 'has_window_func': True, 'has_case': True, 'has_subquery': True, 'has_aggregate': True}",[],[],"SELECT fiscal_year, value as revenue, 
       ROUND((value - LAG(value) OVER (ORDER BY fiscal_year)) / 
             NULLIF(LAG(value) OVER (ORDER BY fiscal_year), 0), 2) as yoy_growth_pct
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li ON ff.line_item_id = li.line_item_id
WHERE li.normalized_code = 'HUL_BALANCE_REVENUE' AND s.statement_type = 'PROFIT_LOSS' 
      AND fp.fiscal_year BETWEEN 2021 AND 2025
ORDER BY fiscal_year;","SELECT c.name as company_name, fp.fiscal_year, ff.value as revenue, LAG(ff.value) OVER (ORDER BY fp.fiscal_year) as prev_year_revenue, ff.value - LAG(ff.value) OVER (ORDER BY fp.fiscal_year) as yoy_change, ROUND(((ff.value - LAG(ff.value) OVER (ORDER BY fp.fiscal_year)) / NULLIF(LAG(ff.value) OVER (ORDER BY fp.fiscal_year), 0)) * 100, 2) as yoy_growth_pct, ROUND(((ff.value - FIRST_VALUE(ff.value) OVER (ORDER BY fp.fiscal_year)) / NULLIF(FIRST_VALUE(ff.value) OVER (ORDER BY fp.fiscal_year), 0)) * 100, 2) as cumulative_growth_from_2021 FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_PROFIT_LOSS_REVENUE_FROM_OPERATIONS_NET' AND s.statement_type = 'PROFIT_LOSS' ORDER BY fp.fiscal_year;",0,llama-3.3-70b-versatile,2025-10-14T23:26:10.657518,few_shot_learning_curve_20251014_232008
Q004,What is the net profit margin in 2024?,profitability,simple,True,0.004326820373535156,,0.7756,False,0.731,False,True,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': True, 'has_cte': True, 'has_window_func': True, 'has_case': True, 'has_subquery': True, 'has_aggregate': True}",[],[],SELECT value FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_NET_PROFIT_MARGIN' AND fp.fiscal_year = 2024;,"SELECT c.name as company_name, fp.fiscal_year, li.name as metric, ff.value as net_profit_margin FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_NET_PROFIT_MARGIN' AND s.statement_type = 'RATIOS' AND fp.fiscal_year = 2024;",0,llama-3.3-70b-versatile,2025-10-14T23:26:10.730627,few_shot_learning_curve_20251014_232008
Q005,Compare all profitability ratios for 2024,profitability,medium,True,0.002022981643676758,,0.3752,False,0.6926,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': False, 'has_cte': False, 'has_window_func': True, 'has_case': True, 'has_subquery': False, 'has_aggregate': False}",['has_order_by'],"['has_cte', 'has_subquery', 'has_aggregate']","WITH latest_year AS (
    SELECT MAX(fiscal_year) as max_year FROM fiscal_period
),
metrics AS (
    SELECT 
        fp.fiscal_year,
        li.normalized_code,
        ff.value
    FROM financial_fact ff
    JOIN statement s ON ff.statement_id = s.statement_id
    JOIN fiscal_period fp ON s.period_id = fp.period_id
    JOIN line_item li ON ff.line_item_id = li.line_item_id
    WHERE fp.fiscal_year = (SELECT max_year FROM latest_year)
        AND li.normalized_code IN (
            'HUL_RATIOS_NET_PROFIT_MARGIN',
            'HUL_RATIOS_RETURN_ON_EBITDA',
            'HUL_RATIOS_ROIC',
            'HUL_RATIOS_DEBT_EQUITY_RATIO'
        )
)
SELECT 
    m.normalized_code as metric,
    m.value as current_value
FROM metrics m;","SELECT c.name as company_name, fp.fiscal_year, li.name as metric, ff.value as ratio_value FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code IN ('HUL_RATIOS_NET_PROFIT_MARGIN', 'HUL_RATIOS_OPERATING_PROFIT_MARGIN', 'HUL_RATIOS_GROSS_PROFIT_MARGIN', 'HUL_RATIOS_RETURN_ON_NET_WORTH', 'HUL_RATIOS_RETURN_ON_CAPITAL_EMPLOYED') AND s.statement_type = 'RATIOS' AND fp.fiscal_year = 2024 ORDER BY li.name;",0,llama-3.3-70b-versatile,2025-10-14T23:26:10.822012,few_shot_learning_curve_20251014_232008
Q006,Analyze net profit margin trend with performance indicators,profitability,complex,True,0.017084836959838867,,0.1494,False,0.6976,False,True,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': False, 'has_cte': True, 'has_window_func': False, 'has_case': True, 'has_subquery': False, 'has_aggregate': True}","['has_order_by', 'has_window_func']",['has_subquery'],"SELECT 
    fp.fiscal_year,
    li.name as metric,
    ff.value as current_value,
    AVG(ff_hist.value) over (partition by li.line_item_id) as historical_avg,
    ROUND((ff.value - AVG(ff_hist.value) over (partition by li.line_item_id)) * 100 / NULLIF(AVG(ff_hist.value) over (partition by li.line_item_id), 0), 2) as variance_from_avg,
    CASE 
        WHEN li.normalized_code LIKE '%MARGIN%' AND ff.value > AVG(ff_hist.value) over (partition by li.line_item_id) THEN 'Strong'
        ELSE 'Review'
    END as assessment
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li ON ff.line_item_id = li.line_item_id
LEFT JOIN financial_fact ff_hist ON ff_hist.line_item_id = li.line_item_id
LEFT JOIN statement s_hist ON ff_hist.statement_id = s_hist.statement_id
LEFT JOIN fiscal_period fp_hist ON s_hist.period_id = fp_hist.period_id
WHERE li.normalized_code IN ('HUL_RATIOS_NET_PROFIT_MARGIN') AND fp.fiscal_year = (SELECT MAX(fiscal_year) FROM fiscal_period);","SELECT c.name as company_name, fp.fiscal_year, ff.value as net_profit_margin, LAG(ff.value) OVER (ORDER BY fp.fiscal_year) as prev_year_margin, ff.value - LAG(ff.value) OVER (ORDER BY fp.fiscal_year) as margin_change, ROUND(AVG(ff.value) OVER (), 2) as avg_margin_all_years, CASE WHEN ff.value > AVG(ff.value) OVER () THEN 'Above Average' WHEN ff.value < AVG(ff.value) OVER () THEN 'Below Average' ELSE 'At Average' END as performance_vs_avg FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_NET_PROFIT_MARGIN' AND s.statement_type = 'RATIOS' ORDER BY fp.fiscal_year;",0,llama-3.3-70b-versatile,2025-10-14T23:26:11.013063,few_shot_learning_curve_20251014_232008
Q007,What was the operating cash flow in 2024?,cash_flow,simple,True,0.008979320526123047,,0.1302,False,0.7196,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': True, 'has_cte': False, 'has_window_func': True, 'has_case': True, 'has_subquery': False, 'has_aggregate': True}",[],"['has_cte', 'has_subquery']","WITH forecast AS (
    SELECT 
        fp.fiscal_year,
        ff.value as operating_cashflow
    FROM financial_fact ff
    JOIN statement s ON ff.statement_id = s.statement_id
    JOIN fiscal_period fp ON s.period_id = fp.period_id
    JOIN line_item li ON ff.line_item_id = li.line_item_id
    WHERE li.normalized_code = 'HUL_CASHFLOW_OPERATING'
        AND s.statement_type = 'CASH_FLOW'
)
SELECT 
    f.operating_cashflow as ""Operating Cash Flow in 2024""
FROM forecast f
WHERE f.fiscal_year = 2024;","SELECT c.name as company_name, fp.fiscal_year, li.name as metric, ff.value as operating_cash_flow, s.currency, s.units FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_CASH_FLOW_NET_CASH_FROM_OPERATING_ACTIVITIES' AND s.statement_type = 'CASH_FLOW' AND fp.fiscal_year = 2024;",0,llama-3.3-70b-versatile,2025-10-14T23:26:11.087798,few_shot_learning_curve_20251014_232008
Q008,Break down cash flow from all three activities over the years,cash_flow,complex,True,0.011999845504760742,,0.0679,False,0.5234,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': False, 'has_order_by': True, 'has_cte': True, 'has_window_func': True, 'has_case': False, 'has_subquery': True, 'has_aggregate': False}",[],"['has_group_by', 'has_case', 'has_aggregate']","WITH latest_year AS 
(
    SELECT MAX(fiscal_year) as max_year FROM fiscal_period
),
metrics AS 
(
    SELECT 
        fp.fiscal_year,
        li.normalized_code,
        ff.value,
        li.statement_category
    FROM financial_fact ff
    JOIN statement s ON ff.statement_id = s.statement_id
    JOIN fiscal_period fp ON s.period_id = fp.period_id
    JOIN line_item li ON ff.line_item_id = li.line_item_id
    WHERE fp.fiscal_year = (SELECT max_year FROM latest_year)
        AND li.normalized_code IN 
        (
             'HUL_RATIOS_NET_PROFIT_MARGIN',
             'HUL_RATIOS_RETURN_ON_NET_WORTH',
             'HUL_RATIOS_CURRENT_RATIO',
             'HUL_RATIOS_DEBT_EQUITY_RATIO',
             'HUL_RATIOS_INVENTORY_TURNOVER_RATIO',
             'HUL_PROFIT_LOSS_BASIC_EPS_RS'
         )
)
SELECT 
    m.fiscal_year,
    m.normalized_code as metric,
    m.value as current_value,
    ROUND(AVG(ff_hist.value), 2) as historical_avg,
    ROUND(m.value - AVG(ff_hist.value), 2) as variance_from_avg,
    CASE 
        WHEN m.normalized_code LIKE '%MARGIN%' AND m.value > AVG(ff_hist.value) THEN 'Strong'
        WHEN m.normalized_code LIKE '%RETURN%' AND m.value > AVG(ff_hist.value) THEN 'Strong'
        WHEN m.normalized_code LIKE '%CURRENT_RATIO%' AND m.value >= 1.5 THEN 'Healthy'
        WHEN m.normalized_code LIKE '%DEBT_EQUITY%' AND m.value < 0.5 THEN 'Low Risk'
        WHEN m.normalized_code LIKE '%TURNOVER%' AND m.value > AVG(ff_hist.value) THEN 'Efficient'
        ELSE 'Review'
    END as assessment
FROM metrics m
LEFT JOIN financial_fact ff_hist ON ff_hist.line_item_id = (
    SELECT line_item_id FROM line_item WHERE normalized_code = m.normalized_code
)
LEFT JOIN statement s_hist ON ff_hist.statement_id = s_hist.statement_id
LEFT JOIN fiscal_period fp_hist ON s_hist.period_id = fp_hist.period_id
GROUP BY m.fiscal_year, m.normalized_code, m.value
ORDER BY m.normalized_code;","WITH operating_cf AS (SELECT fp.fiscal_year, ff.value as operating_cf FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_CASH_FLOW_NET_CASH_FROM_OPERATING_ACTIVITIES' AND s.statement_type = 'CASH_FLOW'), investing_cf AS (SELECT fp.fiscal_year, ff.value as investing_cf FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_CASH_FLOW_INVESTING_ACTIVITIES' AND s.statement_type = 'CASH_FLOW'), financing_cf AS (SELECT fp.fiscal_year, ff.value as financing_cf FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_CASH_FLOW_NET_CASH_USED_IN_FROM_FINANCING_ACTIVITIES' AND s.statement_type = 'CASH_FLOW') SELECT o.fiscal_year, o.operating_cf, i.investing_cf, f.financing_cf, o.operating_cf + i.investing_cf + f.financing_cf as net_cash_change FROM operating_cf o JOIN investing_cf i ON o.fiscal_year = i.fiscal_year JOIN financing_cf f ON o.fiscal_year = f.fiscal_year ORDER BY o.fiscal_year;",0,llama-3.3-70b-versatile,2025-10-14T23:26:11.169440,few_shot_learning_curve_20251014_232008
Q009,Show current ratio for all years,ratios,medium,True,0.007067203521728516,,0.513,False,0.5116,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': False, 'has_order_by': True, 'has_cte': True, 'has_window_func': True, 'has_case': False, 'has_subquery': True, 'has_aggregate': False}","['has_group_by', 'has_case', 'has_aggregate']",[],"SELECT 
    fp.fiscal_year,
    li.name as metric,
    ff.value as current_value
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li ON ff.line_item_id = li.line_item_id
WHERE li.normalized_code = 'HUL_RATIOS_CURRENT_RATIO' AND s.statement_type = 'BALANCE';","SELECT c.name as company_name, li.name as ratio_name, MAX(CASE WHEN fp.fiscal_year = 2021 THEN ff.value END) as year_2021, MAX(CASE WHEN fp.fiscal_year = 2022 THEN ff.value END) as year_2022, MAX(CASE WHEN fp.fiscal_year = 2023 THEN ff.value END) as year_2023, MAX(CASE WHEN fp.fiscal_year = 2024 THEN ff.value END) as year_2024, MAX(CASE WHEN fp.fiscal_year = 2025 THEN ff.value END) as year_2025, ROUND(AVG(ff.value), 2) as avg_ratio FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN company c ON fp.company_id = c.company_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_CURRENT_RATIO' AND s.statement_type = 'RATIOS' GROUP BY c.name, li.name;",0,llama-3.3-70b-versatile,2025-10-14T23:26:11.245192,few_shot_learning_curve_20251014_232008
Q010,Compare debt equity ratio with return on net worth,comparative_analysis,complex,False,0.0,"Execution failed on sql 'SELECT 
    fp.fiscal_year,
    li1.value as debt_equity_ratio,
    li2.value as return_on_net_worth
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li1 ON ff.line_item_id = li1.line_item_id AND li1.normalized_code = 'HUL_RATIOS_DEBT_EQUITY_RATIO'
JOIN line_item li2 ON ff.line_item_id = li2.line_item_id AND li2.normalized_code = 'HUL_RATIOS_RETURN_ON_NET_WORTH'
WHERE s.statement_type = 'RATIOS';': column li1.value does not exist
LINE 3:     li1.value as debt_equity_ratio,
            ^
HINT:  Perhaps you meant to reference the column ""ff.value"".
",0.2277,False,0.5654,False,False,False,0.0,"{'has_select': True, 'has_from': True, 'has_join': True, 'has_where': True, 'has_group_by': True, 'has_order_by': False, 'has_cte': False, 'has_window_func': True, 'has_case': True, 'has_subquery': False, 'has_aggregate': True}","['has_order_by', 'has_cte', 'has_subquery']",[],"SELECT 
    fp.fiscal_year,
    li1.value as debt_equity_ratio,
    li2.value as return_on_net_worth
FROM financial_fact ff
JOIN statement s ON ff.statement_id = s.statement_id
JOIN fiscal_period fp ON s.period_id = fp.period_id
JOIN line_item li1 ON ff.line_item_id = li1.line_item_id AND li1.normalized_code = 'HUL_RATIOS_DEBT_EQUITY_RATIO'
JOIN line_item li2 ON ff.line_item_id = li2.line_item_id AND li2.normalized_code = 'HUL_RATIOS_RETURN_ON_NET_WORTH'
WHERE s.statement_type = 'RATIOS';","WITH debt_equity AS (SELECT fp.fiscal_year, ff.value as debt_equity_ratio FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_DEBT_EQUITY_RATIO' AND s.statement_type = 'RATIOS'), return_metrics AS (SELECT fp.fiscal_year, ff.value as return_on_net_worth FROM financial_fact ff JOIN statement s ON ff.statement_id = s.statement_id JOIN fiscal_period fp ON s.period_id = fp.period_id JOIN line_item li ON ff.line_item_id = li.line_item_id WHERE li.normalized_code = 'HUL_RATIOS_RETURN_ON_NET_WORTH' AND s.statement_type = 'RATIOS') SELECT de.fiscal_year, ROUND(de.debt_equity_ratio, 3) as debt_equity_ratio, ROUND(rm.return_on_net_worth, 2) as return_on_net_worth_pct, ROUND(de.debt_equity_ratio * rm.return_on_net_worth, 2) as leverage_adjusted_return FROM debt_equity de JOIN return_metrics rm ON de.fiscal_year = rm.fiscal_year ORDER BY de.fiscal_year;",0,llama-3.3-70b-versatile,2025-10-14T23:26:11.319631,few_shot_learning_curve_20251014_232008
